id,Name,TotalVotes,Percentage
4,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,1,0.41
4,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,1,0.41
4,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.41
4,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,0.41
4,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,1,0.41
4,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,1,0.41
4,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,1,0.41
4,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
4,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,0,0
4,SENAD BRATIĆ - POKRET DRŽAVA,0,0
4,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
4,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
4,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
4,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
4,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
4,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
4,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
4,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
4,NIKOLA SUVAJAC - NS,0,0
4,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
4,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
4,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,0,0
4,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
4,ALEN POPOVIĆ - NOVO DOBA,0,0
4,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
4,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
4,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
5,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,56,56.57
5,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,31,31.31
5,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,3,3.03
5,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,2,2.02
5,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,2,2.02
5,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,1.01
5,ALEN POPOVIĆ - NOVO DOBA,1,1.01
5,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,1,1.01
5,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,1.01
5,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,1,1.01
5,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
5,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
5,SENAD BRATIĆ - POKRET DRŽAVA,0,0
5,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,0,0
5,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
5,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,0,0
5,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
5,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,0,0
5,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
5,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
5,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
5,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,0,0
5,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
5,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
5,NIKOLA SUVAJAC - NS,0,0
5,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
5,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
5,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
5,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
5,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
5,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
6,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,144,47.68
6,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,143,47.35
6,SENAD BRATIĆ - POKRET DRŽAVA,5,1.66
6,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,2,0.66
6,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,2,0.66
6,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,2,0.66
6,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,1,0.33
6,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.33
6,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,0.33
6,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,1,0.33
6,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
6,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
6,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
6,NIKOLA SUVAJAC - NS,0,0
6,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
6,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
6,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,0,0
6,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
6,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
6,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
6,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
6,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
6,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
6,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
6,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
6,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
6,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
6,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
6,ALEN POPOVIĆ - NOVO DOBA,0,0
6,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
6,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
7,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,127,48.29
7,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,117,44.49
7,SENAD BRATIĆ - POKRET DRŽAVA,11,4.18
7,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,3,1.14
7,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,2,0.76
7,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,1,0.38
7,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,0.38
7,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,1,0.38
