id,Name,TotalVotes,Percentage
5,DNS-DEMOKRATSKI NARODNI SAVEZ,2,2.11
5,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,2,2.11
5,UJEDINJENA SRPSKA,2,2.11
5,SELJAČKA STRANKA,1,1.05
5,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,1.05
5,POKRET ZA DRŽAVU,0,0
5,PNP - POTKOZARSKI NARODNI POKRET,0,0
5,ZA DRŽAVU BIH,0,0
5,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
5,STRANKA ŽIVOT,0,0
5,OTADŽBINSKA STRANKA,0,0
5,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
5,SRPSKA NAPREDNA STRANKA FBIH,0,0
5,SLOBODNA STRANKA SRPSKE,0,0
5,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
5,SAVEZ ZA NOVU POLITIKU,0,0
5,RADNIČKA PARTIJA,0,0
5,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
5,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
5,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
6,PDP - PARTIJA DEMOKRATSKOG PROGRESA,106,35.69
6,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,104,35.02
6,SDS-SRPSKA DEMOKRATSKA STRANKA,26,8.75
6,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,16,5.39
6,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,12,4.04
6,UJEDINJENA SRPSKA,9,3.03
6,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,6,2.02
6,POKRET ZA DRŽAVU,6,2.02
6,DNS-DEMOKRATSKI NARODNI SAVEZ,6,2.02
6,PNP - POTKOZARSKI NARODNI POKRET,2,0.67
6,DEMOKRATSKI SAVEZ-DEMOS,2,0.67
6,PARTIJA UJEDINJENIH PENZIONERA (PUP),1,0.34
6,ZA DRŽAVU BIH,1,0.34
6,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
6,SELJAČKA STRANKA,0,0
6,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
6,SAVEZ ZA NOVU POLITIKU,0,0
6,RADNIČKA PARTIJA,0,0
6,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
6,SLOBODNA STRANKA SRPSKE,0,0
6,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
6,SRPSKA NAPREDNA STRANKA FBIH,0,0
6,STRANKA ŽIVOT,0,0
6,OTADŽBINSKA STRANKA,0,0
6,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
6,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
7,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,90,34.35
7,PDP - PARTIJA DEMOKRATSKOG PROGRESA,85,32.44
7,SDS-SRPSKA DEMOKRATSKA STRANKA,26,9.92
7,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,15,5.73
